base_cake,truffle_type,primary_flavor,secondary_flavor,color_group,rate
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.08993441253283106
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.12763404855660715
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.11901137377197807
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.08745072663118941
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.15526215750738437
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.09986994312747172
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.08219475947276605
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.20215258243084464
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.30478827989301766
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.13342708835814387
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.12527377370768744
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.10539696000850969
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.1760374980139967
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.16333372505593002
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.1035771254360266
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.13189766117108115
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.20754527519607466
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.2624521929885286
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.19097234829115467
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.1809136708372821
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.08592120765132465
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.14009535201367346
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.10484351342791233
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.07947910248468491
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.21223986935931163
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.27547332638832667
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.07585260155038304
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.2626982360189223
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.09924452140839857
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.19537585589899936
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.11862143250418666
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.15661901431920372
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.09163295619174924
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.09369218668039986
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.1808401878875585
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.1636891567228359
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.15076007825287124
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.1730071152099631
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.1310670756221867
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.09735240735587647
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.6016131205244881
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.2245803626576256
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.08875951806125193
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.24398869999090747
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.09109595842548449
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.21391278143658848
Chiffon,Candy Outer,Cherry Cream Spice,Ginger Beer,Tiffany,0.11443610358756592
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,-0.017078267658090777
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.3832522626038227
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,3.3128323451831615e-05
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.032599382034215967
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.07686606945727996
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.09154173493100085
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.015278730513893543
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.4797331740262591
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.11305641981451907
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.2816125249230475
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.17483683505982245
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.021749291358264422
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.4438790796315931
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.12563752172516274
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.1193852376466726
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.02876911189396951
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.0902814777292852
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.02347847805506901
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.11222444545290498
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.06386673716533049
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.41851713124431733
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.2641202058690007
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.08324868932260936
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.018030555302671857
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.23987981089705546
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.17221704100273788
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.48372801523397885
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.04487529747895721
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,-0.0003220384191238365
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.1802621291346267
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.057460830925940204
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.11076098153062759
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.10516758823944981
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.06836335261927508
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,-0.006879643853371215
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.15654989122742008
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.3445107249373115
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.07014042482296133
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,-0.012892308195491387
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.1524280569826829
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,-0.004482212518759646
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.4809886012427547
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.007967963886991128
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.2704882965728656
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.09788005548752962
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.11655009728867842
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.08864053133772125
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.026147713225184936
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.2790135067564353
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.06718269220982873
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.17777331374631855
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.07669465311200109
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,-0.008264657977203323
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.14479241929912023
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.07648367018449002
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.024277057031131588
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.023921750491079495
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.03445641410787154
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.009075658257579711
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.37672897269634537
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.2420078061178365
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.09312274040407915
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.16349314326210995
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.29162341329116037
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.11794407058957447
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.01069400048999013
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.3058568346731868
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.04041941473120184
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.048628684490593196
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.08177502495776365
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,-0.01007339291566017
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.034902344333577286
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.2518361774937872
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.060885024599183324
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.11064702418022908
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.005052095059272569
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.0593769321777049
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.13806977200033171
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.2738150940458223
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,-0.001975863611174038
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.03100533899624848
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.4514270103492761
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.08584833742710989
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.17798513750286127
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,-0.006424757456506967
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.04481802542340822
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.03699677074051353
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.06346715091396214
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.30967626950460936
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.19152086065993068
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.023866644441963528
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.5865698268014703
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.09265247271712386
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.036724952418705784
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.09575839396407504
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.02326391282956037
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.09990618950846902
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.3349017202129529
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.14228267504662728
Chiffon,Jelly Filled,Chocolate,Tutti Frutti,Burgundy,0.07493892974766833
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.4234694026094401
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.24059401364440963
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.1911637634085844
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.3453482813922989
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.3084005088077274
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.14209192085076777
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,-0.06822890794589404
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.36962182852971326
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.3815029786954425
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.49235283744558217
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.16066507883105668
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.049011906946435285
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.3865582535885622
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.5298975572278504
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.022782838796137406
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.4422376940018517
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.45473404399147355
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.30115454775002753
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.3974400700306998
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.31429747517337636
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.3965198664533869
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.2716656301503265
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.2665367134637686
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.29326046158286145
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.26210066680411026
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,-0.1424979930039657
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.44833471913488543
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.20820887960038825
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.5820779351363036
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.20124438061729932
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.23408446106692615
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.7533866182902985
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.14370978666392684
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.1127062596606355
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.1265026736759876
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.3375393963501508
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.17126887572331845
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,-0.19782473191300265
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.8638895385762043
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.1759479739833506
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.7646209493862565
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.27481786300807887
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,-0.0023382161943458213
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.24334561982687494
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.18049175311601245
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,-0.02550333417166084
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.493830270343383
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.05495490380815815
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.21853722266096376
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.15364199347728064
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.32169955106367754
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.30390440518426637
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.27545560627378435
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.19509826860048382
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.5220292149600246
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.0006496094439462086
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.5204617352648404
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.2365217944747162
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.19207229752644744
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.7862682729927172
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.2789231669754013
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.27707383636757504
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.2217378141612202
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.1328459153704269
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.5104346976177399
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.489416826987487
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.5941381014025507
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.06543973309896167
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.6954827694383467
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.21644862384482533
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.27280138772632895
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.035520368859623924
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.1015078435989003
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.18491915708233353
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.4333411740863376
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,-0.01843715641243293
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.13742958678079775
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.7204852317910336
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.3838056607065986
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.0009391904243375993
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.25315025875826963
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.0214783411805457
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.038882698849110386
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,-0.039243016807621156
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.39686393285290356
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.14133355350151
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.25180703060479215
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.6695459186631598
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.42206353090157583
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.23126484081834947
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.22562790083151057
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.12404307248443835
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.1753257796966081
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.1285817413642104
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.4564408002155903
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.30206440803290857
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.4634628035766447
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.2463915265883305
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.4538191566853538
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.25209076607168196
Butter,Candy Outer,Pear,Cucumber,Burgundy,0.11110296818245112
Butter,Candy Outer,Pear,Cucumber,Burgundy,0.19048402521250707
Butter,Candy Outer,Pear,Cucumber,Burgundy,-0.13338241919440794
Butter,Candy Outer,Pear,Cucumber,Burgundy,-0.031381466677609854
Butter,Candy Outer,Pear,Cucumber,Burgundy,-0.14693458124539405
Butter,Candy Outer,Pear,Cucumber,Burgundy,0.10686899486373558
Butter,Candy Outer,Pear,Cucumber,Burgundy,0.11499215882147487
Butter,Candy Outer,Pear,Cucumber,Burgundy,0.0719397484462716
